7079	9	            0.260973	           0.0104308	
7079	10	            0.271021	           0.0119719	
7079	11	            0.276486	           0.0122133	
7079	12	            0.273713	           0.0121199	
7079	13	            0.280229	           0.0124084	
7079	14	            0.293051	           0.0206558	
7079	15	            0.299194	           0.0210888	
7080	9	            0.355096	          0.00428866	
7080	10	            0.363038	          0.00438459	
7080	11	            0.345415	          0.00452741	
7080	12	            0.352604	          0.00462164	
7080	13	            0.346382	          0.00551566	
7080	14	            0.356115	          0.00567063	
7080	15	            0.342362	          0.00669907	
7081	9	            0.299227	          0.00585503	
7081	10	            0.291629	          0.00667896	
7081	11	            0.297509	          0.00681363	
7081	12	            0.294772	          0.00681345	
7081	13	             0.30179	          0.00697566	
7081	14	            0.307014	           0.0115446	
7081	15	             0.31345	           0.0117866	
7082	9	            0.322441	          0.00893885	
7082	10	            0.329653	          0.00913878	
7082	11	            0.344539	          0.00947712	
7082	12	             0.35171	          0.00967436	
7082	13	            0.338544	           0.0114032	
7082	14	            0.348056	           0.0117236	
7082	15	             0.31193	           0.0139607	
7083	9	            0.272629	           0.0122018	
7083	10	            0.281346	           0.0139189	
7083	11	            0.287019	           0.0141996	
7083	12	            0.240061	           0.0141383	
7083	13	            0.245776	           0.0144749	
7083	14	            0.306586	           0.0240062	
7083	15	            0.313013	           0.0245094	
7084	9	            0.330986	          0.00923372	
7084	10	            0.338389	          0.00944024	
7084	11	            0.327965	          0.00974321	
7084	12	            0.334791	            0.009946	
7084	13	             0.34298	           0.0117847	
7084	14	            0.352617	           0.0121158	
7084	15	            0.356251	           0.0143818	
7085	9	            0.307958	           0.0127121	
7085	10	            0.265759	           0.0145479	
7085	11	            0.271117	           0.0148412	
7085	12	            0.290598	           0.0147477	
7085	13	            0.297516	           0.0150988	
7085	14	            0.268323	           0.0257227	
7085	15	            0.273948	           0.0262619	
7086	9	            0.363624	           0.0124388	
7086	10	            0.371757	            0.012717	
7086	11	            0.345579	           0.0131411	
7086	12	            0.352772	           0.0134146	
7086	13	            0.340781	             0.01597	
7086	14	            0.350357	           0.0164187	
7086	15	            0.362156	           0.0198922	
7087	9	            0.320901	           0.0175643	
7087	10	            0.325429	           0.0201041	
7087	11	            0.331991	           0.0205094	
7087	12	            0.312003	           0.0199584	
7087	13	            0.319431	           0.0204336	
7087	14	            0.247319	           0.0353923	
7087	15	            0.252504	           0.0361342	
7088	9	            0.296482	           0.0139437	
7088	10	            0.303113	           0.0142556	
7088	11	            0.328412	           0.0146901	
7088	12	            0.335247	           0.0149959	
7088	13	            0.319797	           0.0180425	
7088	14	            0.328783	           0.0185495	
7088	15	            0.321221	           0.0216948	
7089	9	            0.266341	            0.020031	
7089	10	            0.253232	           0.0230307	
7089	11	            0.258338	            0.023495	
7089	12	            0.279509	           0.0233896	
7089	13	            0.286163	           0.0239464	
7089	14	            0.302873	           0.0402096	
7089	15	            0.309222	           0.0410525	
7090	9	            0.348149	           0.0154756	
7090	10	            0.355936	           0.0158218	
7090	11	            0.327078	           0.0164141	
7090	12	            0.333885	           0.0167557	
7090	13	            0.345182	           0.0200065	
7090	14	            0.354881	           0.0205686	
7090	15	            0.353165	           0.0246719	
7091	9	            0.308669	           0.0215634	
7091	10	            0.309731	           0.0246377	
7091	11	            0.315976	           0.0251344	
7091	12	            0.279318	           0.0244903	
7091	13	            0.285968	           0.0250733	
7091	14	            0.254249	            0.043002	
7091	15	            0.259578	           0.0439035	
7092	9	            0.314519	           0.0354756	
7092	10	            0.321554	           0.0362691	
7092	11	            0.317388	           0.0372033	
7092	12	            0.323994	           0.0379776	
7092	13	            0.358677	           0.0462932	
7092	14	            0.368755	           0.0475939	
7092	15	            0.331194	           0.0604444	
7093	9	            0.312399	           0.0196513	
7093	10	            0.307485	           0.0225706	
7093	11	            0.313684	           0.0230257	
7093	12	            0.299058	           0.0229366	
7093	13	            0.306178	           0.0234826	
7093	14	            0.281061	           0.0404731	
7093	15	            0.286953	           0.0413216	
7094	9	            0.328206	           0.0175463	
7094	10	            0.335547	           0.0179387	
7094	11	            0.320288	           0.0183306	
7094	12	            0.326954	           0.0187121	
7094	13	            0.316006	           0.0230751	
7094	14	            0.324885	           0.0237235	
7094	15	            0.289362	            0.028684	
7095	9	            0.281177	           0.0289998	
7095	10	            0.281718	           0.0326887	
7095	11	            0.287398	           0.0333478	
7095	12	            0.329663	           0.0321197	
7095	13	            0.337511	           0.0328844	
7095	14	            0.243366	           0.0591327	
7095	15	            0.248468	           0.0603723	
7096	9	             0.39423	           0.0312901	
7096	10	            0.403048	             0.03199	
7096	11	            0.312238	           0.0329128	
7096	12	            0.318737	           0.0335979	
7096	13	            0.360458	           0.0406713	
7096	14	            0.370585	           0.0418141	
7096	15	            0.357699	           0.0497266	
7097	9	            0.351803	           0.0329133	
7097	10	            0.351269	           0.0389533	
7097	11	            0.358351	           0.0397387	
7097	12	            0.334441	           0.0384774	
7097	13	            0.342403	           0.0393934	
7097	14	            0.235675	           0.0776744	
7097	15	            0.240615	           0.0793027	
7098	9	            0.383772	           0.0160415	
7098	10	            0.392356	           0.0164003	
7098	11	            0.377413	           0.0168996	
7098	12	            0.385268	           0.0172513	
7098	13	            0.368275	           0.0207277	
7098	14	            0.378623	           0.0213101	
7098	15	            0.376655	            0.025651	
7099	9	            0.329199	           0.0224191	
7099	10	            0.318133	           0.0256291	
7099	11	            0.324547	           0.0261459	
7099	12	            0.290102	           0.0257377	
7099	13	            0.297009	           0.0263504	
